PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,TARPOP,TARAGG,TARSBJ,T001,T048,T064,T080,T096,T112,T128,T144,T160,T176,T192,T208,T224,T240
10000571,10000571,BA-EDAAR,1,55,13,095,2,2,6,15,14,17,13,19,6,6,0,0,0,0
10000571,10000571,BA-EDAAR,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDABM,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-EDABM,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDACW,1,95,13,101,2,2,4,10,20,16,24,12,7,3,1,1,0,0
10000571,10000571,BA-EDACW,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDADA,1,30,13,099,0,0,5,10,10,20,10,25,5,5,5,0,5,0
10000571,10000571,BA-EDADA,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDADS,1,130,13,098,1,0,2,7,13,24,21,12,13,4,2,1,0,1
10000571,10000571,BA-EDADS,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDAEN,1,80,13,075,0,0,4,10,22,23,14,17,5,4,0,0,0,0
10000571,10000571,BA-EDAEN,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDAHY,1,80,13,090,0,0,2,6,26,31,15,11,3,2,3,1,0,0
10000571,10000571,BA-EDAHY,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDAMC,1,95,13,069,0,1,2,17,29,14,17,13,6,1,0,0,0,0
10000571,10000571,BA-EDAMC,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDASR,1,15,13,094,0,0,0,10,25,30,20,0,15,0,5,0,0,0
10000571,10000571,BA-EDASR,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDATD,1,125,13,096,0,2,4,10,8,19,20,12,12,5,3,2,1,2
10000571,10000571,BA-EDATD,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDSECAAR,1,55,13,095,2,2,6,15,14,17,13,19,6,6,0,0,0,0
10000571,10000571,BA-EDSECAAR,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDSECABI,1,30,13,012,0,0,5,20,20,25,15,10,5,0,0,0,0,0
10000571,10000571,BA-EDSECABI,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDSECADS,1,130,13,098,1,0,2,7,13,24,21,12,13,4,2,1,0,1
10000571,10000571,BA-EDSECADS,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDSECAEN,1,95,13,101,2,2,4,10,20,16,24,12,7,3,1,1,0,0
10000571,10000571,BA-EDSECAEN,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDSECAMU,1,110,13,097,2,1,1,4,19,20,19,16,13,2,3,1,0,0
10000571,10000571,BA-EDSECAMU,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDSECASR,1,15,13,094,0,0,0,10,25,30,20,0,15,0,5,0,0,0
10000571,10000571,BA-EDSECASR,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-EDSIN,1,40,14,,0,0,0,0,25,30,15,10,10,0,0,0,0,0
10000571,10000571,BA-EN,1,35,14,,0,0,5,10,25,25,10,20,5,5,0,0,0,0
10000571,10000571,BA-ES,1,30,14,,5,0,0,20,20,20,10,5,10,5,5,0,0,0
10000571,10000571,BA-EY,1,20,14,,0,0,0,10,10,35,15,30,0,0,0,0,0,0
10000571,10000571,BA-EYSIN,1,25,14,,0,0,0,0,30,15,15,15,15,0,10,0,0,5
10000571,10000571,BA-FD,1,15,14,,0,0,5,5,5,25,15,30,5,5,0,0,0,0
10000571,10000571,BA-FINEART,1,50,14,,0,0,5,15,10,20,10,20,5,5,0,0,0,0
10000571,10000571,BA-FSS,1,20,24,,0,0,5,10,40,35,5,10,0,0,0,0,0,0
10000571,10000571,BA-FTD,1,35,14,,0,0,5,5,0,25,30,15,15,0,5,5,0,0
10000571,10000571,BA-FTV,1,35,14,,0,5,0,10,25,15,25,15,10,0,0,0,0,0
10000571,10000571,BA-GEHU,1,70,11,L,0,0,4,16,36,21,11,6,3,1,1,0,0,0
10000571,10000571,BA-GRAPHCOM,1,60,14,,0,3,5,15,10,19,16,5,11,6,5,2,2,2
10000571,10000571,BA-HAD,1,50,13,102,0,5,5,5,10,40,20,5,5,0,0,0,0,0
10000571,10000571,BA-HY,1,55,14,,0,0,2,5,29,27,16,13,4,2,2,0,0,0
10000571,10000571,BA-IE,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-IEDSIN,1,135,13,105,1,0,2,7,25,23,13,14,8,2,3,0,0,1
10000571,10000571,BA-MC,1,25,14,,0,0,5,25,30,15,10,10,5,0,0,0,0,0
10000571,10000571,BA-MT,1,30,14,,0,0,0,5,10,30,15,25,15,5,5,0,0,0
