PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,CONTPOP,CONTAGG,CONTSBJ,UCONT,UDORMANT,UGAINED,ULEFT,ULOWER
10000571,10000571,BA-3DIMO,1,15,14,,75,0,5,15,5
10000571,10000571,BA-ACT,1,65,14,,83,2,2,12,2
10000571,10000571,BA-BM,1,125,14,,69,0,19,9,4
10000571,10000571,BA-BM-SW,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMACC,1,15,14,,75,0,25,0,0
10000571,10000571,BA-BMACC-SW,1,15,13,066,75,0,25,0,0
10000571,10000571,BA-BMENP,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMENP-SW,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMFAE,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMFAE-SW,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMHRM,1,10,14,,100,0,0,0,0
10000571,10000571,BA-BMHRM-SW,1,10,13,064,100,0,0,0,0
10000571,10000571,BA-BMINT,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMINT-SW,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMLAW,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMLAW-SW,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-BMM,1,35,14,,90,0,0,10,0
10000571,10000571,BA-BMM-SW,1,10,12,26,100,0,0,0,0
10000571,10000571,BA-BMTM,1,10,24,,25,0,45,25,0
10000571,10000571,BA-BMTM-SW,1,10,23,067,25,0,45,25,0
10000571,10000571,BA-CAP,1,35,14,,85,5,0,10,5
10000571,10000571,BA-CM,1,35,14,,80,0,15,5,5
10000571,10000571,BA-CMP,1,20,14,,75,5,0,15,5
10000571,10000571,BA-CW,1,45,14,,90,0,0,5,0
10000571,10000571,BA-DA,1,25,14,,50,0,20,30,0
10000571,10000571,BA-DS,1,40,14,,90,0,0,10,0
10000571,10000571,BA-EDAAR,1,55,13,095,89,3,0,7,2
10000571,10000571,BA-EDAAR,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDABM,1,145,13,061,71,0,16,8,4
10000571,10000571,BA-EDABM,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDACW,1,95,13,101,86,1,5,8,1
10000571,10000571,BA-EDACW,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDADA,1,30,13,099,55,0,15,25,0
10000571,10000571,BA-EDADA,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDADS,1,155,13,098,87,2,1,9,1
10000571,10000571,BA-EDADS,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDAEN,1,105,13,075,88,0,0,9,2
10000571,10000571,BA-EDAEN,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDAHY,1,75,13,090,97,0,0,3,0
10000571,10000571,BA-EDAHY,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDAMC,1,70,13,069,90,1,0,7,2
10000571,10000571,BA-EDAMC,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDASR,1,20,13,094,85,5,0,10,0
10000571,10000571,BA-EDASR,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDATD,1,165,13,096,84,2,5,8,2
10000571,10000571,BA-EDATD,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDSECAAR,1,55,13,095,89,3,0,7,2
10000571,10000571,BA-EDSECAAR,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDSECABI,1,25,13,012,100,0,0,0,0
10000571,10000571,BA-EDSECABI,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDSECADS,1,155,13,098,87,2,1,9,1
10000571,10000571,BA-EDSECADS,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDSECAEN,1,95,13,101,86,1,5,8,1
10000571,10000571,BA-EDSECAEN,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDSECAMU,1,155,13,097,90,1,5,3,1
10000571,10000571,BA-EDSECAMU,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDSECASR,1,20,13,094,85,5,0,10,0
10000571,10000571,BA-EDSECASR,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-EDSIN,1,35,14,,90,0,0,10,0
10000571,10000571,BA-EN,1,50,14,,90,0,0,10,5
10000571,10000571,BA-ES,1,100,14,,44,2,47,7,0
10000571,10000571,BA-EY,1,35,14,,65,5,15,10,0
10000571,10000571,BA-EYSIN,1,30,14,,95,5,0,0,0
10000571,10000571,BA-FD,1,25,14,,95,0,0,5,0
10000571,10000571,BA-FINEART,1,45,14,,90,0,0,5,0
10000571,10000571,BA-FSS,1,15,14,,100,0,0,0,0
10000571,10000571,BA-FTD,1,35,14,,90,5,0,5,0
10000571,10000571,BA-FTV,1,70,13,069,90,1,0,7,2
10000571,10000571,BA-GEHU,1,80,11,L,76,1,13,7,3
10000571,10000571,BA-GRAPHCOM,1,50,14,,85,0,0,10,0
10000571,10000571,BA-HAD,1,55,13,102,82,4,0,11,4
10000571,10000571,BA-HY,1,50,14,,95,0,0,5,0
10000571,10000571,BA-IE,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-IEDSIN,1,230,13,105,68,3,23,7,0
10000571,10000571,BA-MC,1,25,14,,90,0,0,10,5
10000571,10000571,BA-MT,1,50,14,,85,0,5,5,0
10000571,10000571,BA-MUS,1,45,14,,100,0,0,0,0
10000571,10000571,BA-PH,1,25,14,,75,5,0,10,10
10000571,10000571,BA-RPE,1,20,14,,75,10,0,20,0
10000571,10000571,BA-TP,1,25,14,,95,0,0,5,0
10000571,10000571,BA-YC,1,230,13,105,68,3,23,7,0
10000571,10000571,BAMA-CM,1,10,14,,100,0,0,0,0
10000571,10000571,BAMA-TDFI,1,15,14,,90,0,0,10,0
10000571,10000571,BS-BI,1,20,14,,100,0,0,0,0
10000571,10000571,BS-BI-SW,1,25,13,012,100,0,0,0,0
10000571,10000571,BS-BICB,1,25,13,012,100,0,0,0,0
10000571,10000571,BS-BICB-SW,1,25,13,012,100,0,0,0,0
10000571,10000571,BS-BIHB,1,25,13,012,100,0,0,0,0
10000571,10000571,BS-BIHB-SW,1,25,13,012,100,0,0,0,0
10000571,10000571,BS-CRI,1,30,13,054,90,5,0,5,0
10000571,10000571,BS-EDABI,1,25,13,012,100,0,0,0,0
10000571,10000571,BS-EDABI,1,230,13,105,68,3,23,7,0
10000571,10000571,BS-EDAGE,1,80,13,031,76,1,13,7,3
10000571,10000571,BS-EDAGE,1,230,13,105,68,3,23,7,0
10000571,10000571,BS-EDAPS,1,100,13,019,89,1,0,6,3
10000571,10000571,BS-EDAPS,1,230,13,105,68,3,23,7,0
10000571,10000571,BS-EDASC,1,30,13,054,90,5,0,5,0
10000571,10000571,BS-EDASC,1,230,13,105,68,3,23,7,0
10000571,10000571,BS-EV,1,10,14,,80,0,0,0,20
10000571,10000571,BS-EV-SW,1,80,13,031,76,1,13,7,3
10000571,10000571,BS-FS,1,25,14,,85,0,0,15,0
10000571,10000571,BS-FS-SW,1,35,13,007,85,0,0,15,0
10000571,10000571,BS-GDS,1,15,14,,45,0,45,15,0
10000571,10000571,BS-GE,1,45,14,,85,0,5,5,0
10000571,10000571,BS-GEPH,1,80,13,031,76,1,13,7,3
10000571,10000571,BS-HN,1,15,24,,95,0,0,5,0
10000571,10000571,BS-HN-SW,1,35,13,007,85,0,0,15,0
10000571,10000571,BS-PS,1,80,14,,90,1,0,5,4
10000571,10000571,BS-SC,1,20,14,,90,5,0,5,0
10000571,10000571,F-29,1,70,12,29,90,1,0,7,2
10000571,10000571,F-34,1,75,12,34,97,0,0,3,0
10000571,10000571,F-35,1,40,12,35,80,5,0,15,0
10000571,10000571,F-36,1,220,12,36,85,2,4,8,2
10000571,10000571,MOD-CWAEN,1,30,14,,80,5,0,15,0
10000571,10000571,MOD-CWAPU,1,30,14,,65,0,30,5,0
10000610,10000610,B1322,1,20,23,024,75,0,0,25,0
10000610,10000610,B868,1,20,23,024,75,0,0,25,0
10000610,10000610,D347,1,15,11,9,100,0,0,0,0
10000610,10000610,D489,1,15,13,040,100,0,0,0,0
10000610,10000610,E2021,1,25,21,D,90,0,5,5,0
10000610,10000610,E780,1,10,13,019,90,0,0,10,0
10000610,10000610,H1400,1,20,23,067,90,0,5,5,0
10000610,10000610,H1626,1,10,13,011,35,0,0,65,0
10000610,10000610,H1628,1,10,13,011,35,0,0,65,0
10000610,10000610,H665C01,1,20,23,067,90,0,5,5,0
10000610,10000610,K1246,1,45,13,054,95,0,0,5,0
10000610,10000610,K1514,1,10,13,011,35,0,0,65,0
10000610,10000610,L1323,1,10,23,095,75,0,20,10,0
10000610,10000610,L1324,1,10,12,38,80,0,0,20,0
10000610,10000610,L1412C01,1,40,23,100,90,0,0,10,0
10000610,10000610,L1582,1,40,23,100,90,0,0,10,0
10000610,10000610,L1601,1,10,22,37,100,0,0,0,0
10000610,10000610,L1609,1,10,22,37,100,0,0,0,0
10000610,10000610,L510C01,1,15,13,096,75,0,15,15,0
10000610,10000610,L511C01,1,15,13,096,75,0,15,15,0
10000610,10000610,L515,1,40,23,100,90,0,0,10,0
10000610,10000610,L516,1,10,23,097,100,0,0,0,0
10000654,10000654,NFCDLBCA,1,15,13,105,85,0,0,15,0
10000654,10000654,SPRTMFH05,1,20,13,018,75,10,0,10,5
10000670,10000670,C40,1,10,14,,80,0,0,20,0
10000712,10000712,BA_AAM,1,425,13,067,55,6,31,8,0
10000712,10000712,BA_BEN,1,140,14,,39,7,45,9,0
10000712,10000712,BA_BEN,2,15,22,25,80,10,0,5,0
