PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,ASSUNEMP,BOTH,NOAVAIL,WORK
10000571,10000571,BA-HAD,1,40,70,13,102,80,15,15,10,5,60
10000571,10000571,BA-HY,1,35,75,14,,90,20,5,5,5,65
10000571,10000571,BA-IE,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-IEDSIN,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-MC,1,10,70,14,,80,10,20,0,0,75
10000571,10000571,BA-MT,1,30,90,14,,90,10,5,0,5,80
10000571,10000571,BA-MUS,1,40,95,14,,90,20,0,5,10,65
10000571,10000571,BA-PH,1,15,80,14,,70,5,15,5,15,55
10000571,10000571,BA-RPE,1,10,65,13,093,90,10,5,15,5,70
10000571,10000571,BA-RPE,1,25,70,23,094,85,10,10,5,5,70
10000571,10000571,BA-TP,1,15,80,14,,95,0,5,0,0,95
10000571,10000571,BA-YC,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BAMA-CM,1,100,88,13,097,88,14,4,3,8,72
10000571,10000571,BAMA-TDFI,1,105,84,13,096,85,3,8,0,8,82
10000571,10000571,BS-BI,1,20,90,14,,100,25,0,5,0,70
10000571,10000571,BS-BI-SW,1,25,90,13,012,95,25,5,10,0,65
10000571,10000571,BS-BICB,1,25,90,13,012,95,25,5,10,0,65
10000571,10000571,BS-BICB-SW,1,25,90,13,012,95,25,5,10,0,65
10000571,10000571,BS-BIHB,1,25,90,13,012,95,25,5,10,0,65
10000571,10000571,BS-BIHB-SW,1,25,90,13,012,95,25,5,10,0,65
10000571,10000571,BS-CRI,1,25,70,13,054,90,0,5,10,5,85
10000571,10000571,BS-EDABI,1,25,90,13,012,95,25,5,10,0,65
10000571,10000571,BS-EDABI,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BS-EDAGE,1,45,85,13,031,85,5,10,5,5,75
10000571,10000571,BS-EDAGE,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BS-EDAPS,1,55,68,13,019,89,21,5,5,5,63
10000571,10000571,BS-EDAPS,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BS-EDASC,1,25,70,13,054,90,0,5,10,5,85
10000571,10000571,BS-EDASC,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BS-EV,1,20,85,24,,85,5,5,10,10,70
10000571,10000571,BS-EV-SW,1,45,85,13,031,85,5,10,5,5,75
10000571,10000571,BS-FS,1,10,90,14,,90,15,0,0,10,75
