PUBUKPRN,UKPRN,COUNTRY,PUBUKPRNCOUNTRY,TEFMARKER,SUURL,SUURLW,Q24,Q24POP,Q24RESP_RATE
10005404,10005404,XF,XF,1,http://www.reaseheath.ac.uk/students/student-association/,,52,139,79
10005410,10005410,XF,XF,1,http://vle.redbridge-college.ac.uk/,,,,
10005414,10007161,XF,XF,1,http://www.tees-su.org.uk/,,60,25,65
10005455,10007146,XF,XF,0,http://www.suug.co.uk/,,,,75
10005465,10005465,XF,XF,1,http://www.huish.ac.uk/student-life,,36,15,71
10005469,10005469,XF,XF,1,http://www.rutc.ac.uk/key-information/higher-education/538-useful-information.html,,,,
10005470,10005470,XF,XF,1,https://www.richmond.ac.uk/studentgovernment,,48,70,55
10005500,10005500,XH,XH,0,http://www.rguunion.co.uk,,50,1510,75
10005523,10005523,XF,XF,1,https://www.bruford.ac.uk/study/whilst-here/student-life/,,60,145,80
10005534,10005534,XF,XF,1,http://www.rotherham.ac.uk/HigherEducation,,54,21,64
10005545,10005545,XF,XF,1,https://www.rau.ac.uk/university-life/social/student-union,,62,230,80
10005553,10005553,XF,XF,1,http://www.su.rhul.ac.uk/,,62,1480,70
10005561,10005561,XH,XH,0,http://www.rcs.ac.uk,,53,165,85
10005575,10005575,XF,XF,1,http://www.uclansu.co.uk/,,60,55,53
10005583,10005583,XF,XF,1,https://www.facebook.com/ruskinstudentunion/?fref=nf,,50,17,65
10005669,10005669,XF,XF,1,http://www.sandwell.ac.uk/about/student-union/,,,,
10005700,10005700,XH,XH,0,http://www.sruc.ac.uk/info/120377/students_association,,49,155,60
10005736,10005736,XF,XF,1,http://www.seevic-college.ac.uk/higher-education/student-life.aspx,,,,
10005741,10005741,XF,XF,1,http://selby.ac.uk/,,44,12,100
10005788,10005788,XF,XF,1,http://www.sheffcol.ac.uk/courses/university-level,,55,83,68
10005790,10005790,XF,XF,1,http://www.shu.ac.uk/university/union/index.html,,56,4415,80
10005821,10005821,XF,XF,0,http://www.nus.org.uk/,,,,
10005946,10005946,XF,XF,1,http://www.solihull.ac.uk/courses.php?id=uni__level_learner&uid=Student_Services,,59,197,82
10005967,10005967,XF,XF,1,http://www.sccb.ac.uk,,70,214,51
10005972,10005972,XF,XF,1,http://www.scc.ac.uk,,,,
10005977,10005977,XF,XF,1,http://southdevon.ac.uk/university/the-student-voice,,53,169,69
10005979,10005979,XF,XF,1,http://www.nus.org.uk/,,90,34,83
