PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,JOBPOP,JOBRESP_RATE,JOBAGG,JOBSBJ,PROFMAN,OTHERJOB,UNKWN
10000571,10000571,BS-EDASC,1,45,75,13,105,45,55,0
10000571,10000571,BS-EV,1,15,85,24,,45,55,0
10000571,10000571,BS-EV-SW,1,35,85,13,031,60,40,0
10000571,10000571,BS-FS,1,10,80,24,,50,50,0
10000571,10000571,BS-FS-SW,1,15,90,13,007,60,40,0
10000571,10000571,BS-GDS,1,35,85,13,031,60,40,0
10000571,10000571,BS-GE,1,25,90,14,,70,30,0
10000571,10000571,BS-GEPH,1,35,85,13,031,60,40,0
10000571,10000571,BS-HN,1,10,85,24,,25,75,0
10000571,10000571,BS-HN-SW,1,15,90,13,007,60,40,0
10000571,10000571,BS-PS,1,25,65,14,,45,55,0
10000571,10000571,BS-SC,1,15,75,14,,20,80,0
10000571,10000571,F-29,1,20,60,12,29,55,45,0
10000571,10000571,F-34,1,35,75,12,34,35,65,0
10000571,10000571,F-35,1,15,60,12,35,30,65,5
10000571,10000571,F-36,1,100,79,12,36,63,37,0
10000571,10000571,MOD-CWAEN,1,15,75,24,,35,65,0
10000571,10000571,MOD-CWAPU,1,15,75,24,,70,30,0
10000610,10000610,E2021,1,10,68,21,D,0,100,0
10000610,10000610,H1400,1,10,68,21,D,0,100,0
10000610,10000610,H665C01,1,10,68,21,D,0,100,0
10000610,10000610,K1246,1,15,75,23,054,30,60,10
10000610,10000610,L1323,1,15,61,22,36,65,35,0
10000610,10000610,L1324,1,25,64,21,H,60,40,0
10000610,10000610,L1412C01,1,25,64,21,H,60,40,0
10000610,10000610,L1582,1,25,64,21,H,60,40,0
10000610,10000610,L1601,1,25,64,21,H,60,40,0
10000610,10000610,L1609,1,25,64,21,H,60,40,0
10000610,10000610,L510C01,1,15,62,23,096,70,30,0
10000610,10000610,L511C01,1,15,62,23,096,70,30,0
10000610,10000610,L515,1,25,64,21,H,60,40,0
10000610,10000610,L516,1,25,64,21,H,60,40,0
10000712,10000712,BA_AAM,1,135,76,13,067,53,47,0
10000712,10000712,BA_BEN,1,30,80,14,,40,60,0
10000712,10000712,BA_BEN,2,15,70,22,25,55,45,0
10000712,10000712,BA_BTM,1,135,76,13,067,53,47,0
10000712,10000712,BA_CAMM,1,10,75,14,,45,55,0
10000712,10000712,BA_CHI,1,65,73,13,105,26,74,0
10000712,10000712,BA_CHIE,1,65,73,13,105,26,74,0
10000712,10000712,BA_DMK,1,25,70,13,062,65,35,0
10000712,10000712,BA_EVE,1,35,80,14,,55,45,0
10000712,10000712,BA_HBMM,1,20,80,14,,50,50,0
10000712,10000712,BA_HEV,1,20,75,24,,70,30,0
10000712,10000712,BA_HMM,1,15,60,14,,55,45,0
10000712,10000712,BA_HRM,1,25,65,13,023,75,25,0
10000712,10000712,BA_HTM,1,15,60,14,,45,55,0
10000712,10000712,BA_ITB,1,20,90,14,,45,55,0
10000712,10000712,BA_ITB,2,20,60,23,067,35,65,0
10000712,10000712,BA_MKT,1,15,70,14,,60,40,0
10000712,10000712,BA_MKT,2,15,70,22,25,55,45,0
10000712,10000712,BA_MWE,1,10,65,24,,75,25,0
10000712,10000712,BA_MWE,2,15,70,22,25,55,45,0
10000712,10000712,BA_SFS,1,135,76,13,067,53,47,0
10000712,10000712,BA_SM_,1,15,70,14,,55,45,0
10000712,10000712,BA_SPA,1,135,76,13,067,53,47,0
10000712,10000712,BSCAFN,1,25,65,13,023,75,25,0
10000712,10000712,BSCBPT,1,25,65,13,023,75,25,0
10000712,10000712,BSCCSC,1,25,65,13,023,75,25,0
10000712,10000712,BSCFDI,1,25,65,13,023,75,25,0
10000712,10000712,BSCITM,1,20,65,24,,40,60,0
10000712,10000712,BSCSPT,1,50,70,14,,65,35,0
10000712,10000712,FDGAAH,1,20,85,13,067,50,50,0
10000712,10000712,FDGAFN,1,10,90,13,023,20,80,0
10000712,10000712,FDGBCT,1,10,90,13,023,20,80,0
10000712,10000712,FDGBTM,1,20,85,13,067,50,50,0
10000712,10000712,FDGBUS,1,10,85,12,25,30,70,0
10000712,10000712,FDGBUS,2,20,70,21,D,45,55,0
10000712,10000712,FDGCAMM,1,10,90,13,023,20,80,0
10000712,10000712,FDGCHI,1,10,90,23,105,35,65,0
10000712,10000712,FDGCHIE,1,10,90,23,105,35,65,0
10000712,10000712,FDGCSC,1,10,90,13,023,20,80,0
10000712,10000712,FDGDMK,1,10,85,12,25,30,70,0
10000712,10000712,FDGEVE,1,20,85,13,067,50,50,0
10000712,10000712,FDGFDI,1,10,90,13,023,20,80,0
10000712,10000712,FDGHBMM,1,20,85,13,067,50,50,0
10000712,10000712,FDGHEV,1,20,85,13,067,50,50,0
10000712,10000712,FDGHMM,1,20,80,14,,15,85,0
10000712,10000712,FDGHRM,1,10,90,13,023,20,80,0
10000712,10000712,FDGHSC,2,20,85,23,058,95,5,0
10000712,10000712,FDGHSCS,2,20,85,23,058,95,5,0
10000712,10000712,FDGITBH,1,20,85,13,067,50,50,0
10000712,10000712,FDGITBH,2,15,70,23,067,40,60,0
10000712,10000712,FDGMKT,1,10,85,12,25,30,70,0
10000712,10000712,FDGMKT,2,20,70,21,D,45,55,0
10000712,10000712,FDGMSI,2,15,70,23,067,40,60,0
10000712,10000712,FDGMWE,1,10,85,12,25,30,70,0
10000712,10000712,FDGPCH,2,20,90,13,105,50,50,0
10000712,10000712,FDGPCHE,2,20,90,13,105,50,50,0
10000712,10000712,FDGPHT,2,15,70,23,067,40,60,0
10000712,10000712,FDGSFS,1,20,85,13,067,50,50,0
10000712,10000712,FDGSM_,1,20,85,13,067,50,50,0
10000712,10000712,FDGSPA,1,20,85,13,067,50,50,0
10000712,10000712,FDGTHM,1,20,85,13,067,50,50,0
10000712,10000712,FDGYCF,2,20,85,23,058,95,5,0
10000720,10000720,KIS00109,2,10,63,13,058,20,80,0
10000720,10000720,KIS00110,2,10,63,13,058,20,80,0
10000721,10000721,BScAABT,1,20,79,24,,25,75,0
10000721,10000721,BScBIO,1,35,86,12,09,25,75,5
10000721,10000721,BScEqBM,1,35,86,13,024,25,75,5
