PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,DEGPOP,DEGAGG,DEGSBJ,UFIRST,UUPPER,ULOWER,UOTHER,UORDINARY,UDISTINCTION,UMERIT,UPASS,UNA
10000571,10000571,BA-EDASR,1,15,13,094,5,70,20,5,0,0,0,0,0
10000571,10000571,BA-EDASR,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDATD,1,115,13,096,18,44,32,5,0,0,0,0,0
10000571,10000571,BA-EDATD,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDSECAAR,1,35,13,095,10,55,30,10,0,0,0,0,0
10000571,10000571,BA-EDSECAAR,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDSECABI,1,20,13,012,5,65,30,5,0,0,0,0,0
10000571,10000571,BA-EDSECABI,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDSECADS,1,150,13,098,18,70,11,1,0,0,0,0,0
10000571,10000571,BA-EDSECADS,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDSECAEN,1,65,13,101,16,76,8,0,0,0,0,0,0
10000571,10000571,BA-EDSECAEN,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDSECAMU,1,100,13,097,13,71,15,1,0,0,0,0,0
10000571,10000571,BA-EDSECAMU,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDSECASR,1,15,13,094,5,70,20,5,0,0,0,0,0
10000571,10000571,BA-EDSECASR,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDSIN,1,45,14,,25,60,10,5,0,0,0,0,0
10000571,10000571,BA-EN,1,55,14,,0,62,36,2,0,0,0,0,0
10000571,10000571,BA-ES,1,40,14,,20,60,20,5,0,0,0,0,0
10000571,10000571,BA-EY,1,45,14,,15,55,30,0,0,0,0,0,0
10000571,10000571,BA-EYSIN,1,15,14,,0,70,30,0,0,0,0,0,0
